code,lat,lon
04TT,29.7131,-99.5456
04TX,31.7328,-97.3693
04UT,37.0067,-110.7947
04V,38.0991,-106.1744
04VG,37.7065,-77.2016
04VT,44.4011,-72.2636
04W,46.0228,-92.8954
04WA,47.5818,-117.4371
04WI,42.5234,-88.0167
04WN,46.9584,-119.6386
04XA,33.2839,-98.4029
04Y,46.8838,-96.3503
05AA,57.5149,-134.9460
05AK,61.6683,-149.1880
05AN,64.9605,-147.6011
05AR,36.0006,-93.5703
05B,47.1589,-67.9320
05C,41.5198,-87.3995
05CL,38.6107,-122.3910
05CO,40.2150,-104.9844
05D,47.9670,-102.4780
05FA,30.9189,-86.2183
05FL,26.5202,-81.4103
05GA,32.0714,-84.7144
05IA,43.1375,-93.0683
05ID,45.9141,-114.8360
05IL,41.1567,-88.0167
05IN,39.6420,-86.5042
05IS,39.7259,-89.2640
05K,60.1986,-154.3228
05KS,37.2662,-95.9592
05KT,38.1871,-84.9301
05KY,37.5358,-84.4073
05LA,32.2653,-91.6978
05LS,31.2521,-92.4757
05MD,39.2442,-76.1987
05ME,44.6570,-67.5592
05MO,40.1720,-92.2125
05MT,45.8154,-111.1522
05N,35.4822,-77.3559
05NC,34.7584,-76.6447
05NE,41.7222,-98.3090
05NR,36.1684,-79.2769
05NV,39.0311,-114.0882
05OH,40.1845,-81.9206
05OI,41.2884,-81.9626
05OK,35.4714,-98.5417
05OR,45.4443,-117.3472
05PS,40.1431,-77.8622
05S,45.8515,-123.2420
05TA,29.8091,-96.2651
05TE,30.7221,-97.7914
05TS,33.1293,-97.3586
05TX,32.1290,-97.4046
05U,39.6042,-116.0050
05UT,37.2881,-113.6969
05V,37.4111,-105.5520
05VA,37.2242,-78.4186
05WI,42.6511,-88.7459
05WN,48.7022,-118.0475
05XS,33.0795,-91.5614
05Y,46.3038,-95.4395
06A,32.4605,-85.6800
06AA,60.5403,-150.8138
06AK,61.6276,-149.5753
06AN,60.7338,-151.2136
06AR,35.5445,-92.1849
06B,44.9070,-68.8050
06C,41.9893,-88.1012
06CO,37.3858,-103.6915
06D,48.8843,-99.6209
06FA,26.9084,-80.3289
06FD,28.6417,-81.8850
06I,38.4334,-86.6911
06IA,41.8414,-91.8343
06ID,43.4627,-116.3590
06IL,41.5995,-88.8699
06IS,40.5464,-91.2743
06M,33.5346,-89.3130
06MN,47.5165,-94.0864
06MO,39.2306,-94.8044
06MT,48.5587,-112.1171
06N,41.4320,-74.3916
06NC,34.8275,-78.9303
06ND,46.7489,-101.6690
06NH,42.9284,-70.9731
06NV,39.0983,-114.1503
06NY,42.8368,-76.4376
06OH,41.5098,-80.5912
06OI,39.7348,-84.3822
06OR,45.4651,-123.0800
06PA,41.9958,-78.2882
06TA,30.9085,-97.1169
06TE,30.3127,-95.0269
06TN,35.6970,-86.9578
06TS,31.4216,-99.8366
06TT,30.8600,-100.2020
06TX,30.0579,-95.8125
06U,41.9760,-114.6580
06VA,38.2490,-78.8553
06WI,45.4025,-87.8575
06WN,46.9250,-122.5530
06XA,33.4459,-96.5708
06XS,33.3229,-97.0450
06Y,45.8300,-96.1606
07A,32.1668,-85.8097
07AA,61.6960,-149.9549
07AN,62.8256,-149.9108
07AR,35.1943,-92.8025
07B,44.4480,-68.5697
07CL,39.4977,-121.7710
07CO,39.2636,-104.4270
07F,32.5288,-94.9717
07FA,25.3254,-80.2748
07GA,33.6743,-83.7646
07GE,31.5557,-83.2785
07I,39.0587,-86.4461
07IA,40.6479,-95.0213
07ID,48.1492,-116.9980
07IN,39.5737,-85.9139
07K,41.1126,-98.0517
07KS,37.7342,-96.9367
07KY,38.0806,-85.6933
07LA,31.0530,-92.6329
07MD,39.6083,-77.0519
07MN,44.0550,-95.9095
07MO,38.6556,-93.6245
07MT,48.4211,-106.5280
07N,40.0168,-77.0039
07NC,34.8332,-80.7512
07NH,43.1756,-72.0639
07NV,39.1022,-114.0535
07OK,34.6334,-99.0337
07OR,45.4218,-122.6200
07PA,41.8529,-80.4072
07PN,40.9989,-78.1253
07R,27.6103,-97.7526
07S,37.6592,-96.5272
07TA,29.2405,-95.3447
07TE,33.5441,-97.0316
07TS,30.6254,-97.5714
07UT,41.7167,-112.4472
07V,37.5238,-105.0090
07VA,36.8196,-78.7831
07VT,44.4472,-72.9147
07WY,44.9601,-106.1059
07Y,46.9555,-93.5969
08A,32.5294,-86.3282
08AK,61.5687,-149.7258
08AL,30.2437,-87.7547
08AN,61.7043,-149.2125
08AR,33.7236,-94.1453
08B,44.0000,-69.8871
08C,42.9359,-85.8050
08CL,37.8583,-120.5521
08CO,38.7325,-104.0410
08CT,41.8960,-73.0931
08D,48.3008,-102.4060
08F,34.5318,-96.2331
08FA,26.5798,-81.4837
08FD,27.3631,-80.7728
08FL,27.0845,-81.3287
08GA,31.4258,-81.2859
08ID,43.5693,-116.7770
08IL,41.8604,-88.6557
08IN,41.2231,-85.8306
08IS,37.9778,-89.2029
08K,40.6514,-98.0798
08KS,39.0347,-97.5800
08KY,36.9726,-84.6261
08LL,41.0744,-88.4887
08LS,30.4083,-92.0334
08M,32.7612,-89.5301
08MA,42.2940,-71.4962
08ME,44.8154,-70.3485
08MN,47.6694,-93.0544
